"N° Dossier","Client","Chantier","N° Devis","Client - Chantier"
"102041","Covea","Tivoli comptages supplémentaires","32578","Covea - Tivoli comptages supplémentaires"
"102042","Rougnon","Montparnasse  Secteur 4","32660","Rougnon - Montparnasse  Secteur 4"
"102043","Vinci Facilities","Serclim Sicra","32077A","Vinci Facilities - Serclim Sicra"
"102044","Siteme","Cinema Bobigny","32635A","Siteme - Cinema Bobigny"
"102045","Siteme","GS Bel Air Nord Vitry","32092A","Siteme - GS Bel Air Nord Vitry"
"102046","La louisiane","40 Allée de Bercy Paris","32572","La louisiane - 40 Allée de Bercy Paris"
"102047","Cogeclim","RATP Bagneux FTMS 075 V3","32623A","Cogeclim - RATP Bagneux FTMS 075 V3"
"102048","Rougnon","Maintenance 2024 - Victoire","32351-24","Rougnon - Maintenance 2024 - Victoire"
"102049","Geteo ","MSF Audit","32262","Geteo  - MSF Audit"
"102050","Spirec","Intervention sur site","32673","Spirec - Intervention sur site"
"102051","Granpas","Fourniture de 4 passerelles","32656B","Granpas - Fourniture de 4 passerelles"
"102052","Enerchauf","Fourniture Gymanse Baudoin","32676","Enerchauf - Fourniture Gymanse Baudoin"
"102053","Climsystem","Fourniture","32674","Climsystem - Fourniture"
"102054","GroupeOptim","Bellini Ecole - Fournitures","32616","GroupeOptim - Bellini Ecole - Fournitures"
"102055","Ci Elec","Comédie Française - Bâtiment 3","32680","Ci Elec - Comédie Française - Bâtiment 3"
"102056","Etec","Fournitures","32688","Etec - Fournitures"
"102057","Etec","Inoprod Albi","32690","Etec - Inoprod Albi"
"102058","Semeru","Audit Mairie Ivry sur Seine","32659","Semeru - Audit Mairie Ivry sur Seine"
"102059","Idex","Tour des Dames - Maintenance 2025","32501","Idex - Tour des Dames - Maintenance 2025"
"102060","Rougnon","Retiro - Cartier Maintenance 2025","32398","Rougnon - Retiro - Cartier Maintenance 2025"
"102061","Vinci Facilities","Canopy - Solution programme horaire","32389","Vinci Facilities - Canopy - Solution programme horaire"
"102062","Rougnon","Retiro Cartier - Mise à l'heure VC","32594","Rougnon - Retiro Cartier - Mise à l'heure VC"
"102063","Semeru","Audit / 31-37 Bd de Montmorency","32658","Semeru - Audit / 31-37 Bd de Montmorency"
"102064","Energilec","Bâitment Canopy - Maintenance 2025","32628","Energilec - Bâitment Canopy - Maintenance 2025"
"102065","Enerchauf","Champs Langevin","32681","Enerchauf - Champs Langevin"
"102066","Vinci Facilities","Covea Boulogne - Maintenance 2025","32622","Vinci Facilities - Covea Boulogne - Maintenance 2025"
"102067","Axima","Hôtel Grand Quartier - Maintenance 2025","32691","Axima - Hôtel Grand Quartier - Maintenance 2025"
"102068","Geteo","Richelieu - Dépannage","32663","Geteo - Richelieu - Dépannage"
"102069","Robert Climatisation","Fourniture","32471","Robert Climatisation - Fourniture"
"102070","Groupe Optim","Bellini  Ecole HOLBERTONE","32693","Groupe Optim - Bellini  Ecole HOLBERTONE"
"102071","Spirec","Fourniture - V5 IQ4","32728","Spirec - Fourniture - V5 IQ4"
"102072","Eiffage Energie Thermique","RATP Pont de Sèvres","32194C","Eiffage Energie Thermique - RATP Pont de Sèvres"
"102073","Enexes","Bât Ralph Lauren Etude pré-travaux","32707","Enexes - Bât Ralph Lauren Etude pré-travaux"
"102074","Eiffage Energie","RATP Vitry Centre Fourniture","32721","Eiffage Energie - RATP Vitry Centre Fourniture"
"102075","Fern Energies","St-James Fourniture","32734","Fern Energies - St-James Fourniture"
"102076","Vinci Facilities","Serclim Sicra - Relevé Electrique","32696","Vinci Facilities - Serclim Sicra - Relevé Electrique"
"102077","Enexes","Collège le Bon Sauveur Chatou","32708A","Enexes - Collège le Bon Sauveur Chatou"
"102078","Rougnon","Le Retiro / Cartier","32717","Rougnon - Le Retiro / Cartier"
"102079","St2I","Marengo Aménagement R+1","32733","St2I - Marengo Aménagement R+1"
