"N° Dossier","Client","Chantier","N° Devis","Client - Chantier"
"102256","Fern Energies","Nespresso","33113A","Fern Energies - Nespresso"
"102257","Eiffage","RATP Pont de Sèvres - Modules CCF","33013","Eiffage - RATP Pont de Sèvres - Modules CCF"
"102258","Soparq","Extension GTB 1 Bât + Optimisation GF VC","32780B","Soparq - Extension GTB 1 Bât + Optimisation GF VC"
"102259","Cegelec Missenard","Rue de Provence Maintenance 2025","32614","Cegelec Missenard - Rue de Provence Maintenance 2025"
"102260","SNEF","Chaufferie Louis Bertrand IVRY","33112","SNEF - Chaufferie Louis Bertrand IVRY"
"102261","Aston Climatisation","Data center Aubervilliers","33126","Aston Climatisation - Data center Aubervilliers"
"102262","Cogeclim","Général Leclerc Boulogne","33115","Cogeclim - Général Leclerc Boulogne"
"102263","Axima","GS Les Groues - Sondes CO2","33038A","Axima - GS Les Groues - Sondes CO2"
"102264","Covea","Montparnasse - modif IP","33108","Covea - Montparnasse - modif IP"
"102265","Michon","Gymnase Brie-Comte-Robert","33045A","Michon - Gymnase Brie-Comte-Robert"
"102266","Michon","GS Pré St Gervais de Buc","32964","Michon - GS Pré St Gervais de Buc"
"102267","Secla","Câbles RJ45","33140","Secla - Câbles RJ45"
"102268","Engie Energie Services","Université Dauphine - LT SS1","32123B","Engie Energie Services - Université Dauphine - LT SS1"
"102269","Engie Solutions","Dauphine - Amphi 2e","32682","Engie Solutions - Dauphine - Amphi 2e"
"102270","CNRS","Programme CTA restaurant","33091","CNRS - Programme CTA restaurant"
"102271","Emalec","Salesforce fourniture","33125","Emalec - Salesforce fourniture"
"102272","IDFC","LT SST Choisy","33142","IDFC - LT SST Choisy"
"102273","Derichebourg","Centre Cujas","33093X","Derichebourg - Centre Cujas"
"102274","Covea","Zone G010 sondes d'ambiance","33088","Covea - Zone G010 sondes d'ambiance"
"102275","Vinci Facilities","Stadium - Paramétrage adresse IP","33097","Vinci Facilities - Stadium - Paramétrage adresse IP"
"102276","Eiffage","RATP Vitry Ardoines - Gestion vannes locaux","33096A","Eiffage - RATP Vitry Ardoines - Gestion vannes locaux"
"102277","Adéqwatts","Fourniture Trend","33153","Adéqwatts - Fourniture Trend"
"102278","SNEF","Maison des géomètres","33144A","SNEF - Maison des géomètres"
"102279","Eiffage","Gare Ardoines","33135","Eiffage - Gare Ardoines"
"102280","Bouygues","Opv","33043A","Bouygues - Opv"
"102281","Jvelec","Projet Ecole","33087B","Jvelec - Projet Ecole"
"102282","Commune de Chennevieres","Maintenance 2025 - GS Germaine Tillion","32805","Commune de Chennevieres - Maintenance 2025 - GS Germaine Tillion"
"102283","RCE","PNEI - Passerelle","33154","RCE - PNEI - Passerelle"
"102284","LTI","Roquepine","32951","LTI - Roquepine"
"102285","LTI","Roquepine R+1","33057","LTI - Roquepine R+1"
"102286","RCE","38 rue Provence","33128A","RCE - 38 rue Provence"
"102287","IDEX","Maison Rouge & Maternelle Daudet","33138","IDEX - Maison Rouge & Maternelle Daudet"
"102288","Ambiance Climatisation","Omallet","33056C","Ambiance Climatisation - Omallet"
"102289","LDE","Sondes Trend","33177","LDE - Sondes Trend"
"102290","Covea","Tivoli - Cloisonnement F3","33104","Covea - Tivoli - Cloisonnement F3"
"102291","Covea","Tivoli - Cloisonnement F4","33105","Covea - Tivoli - Cloisonnement F4"
"102292","Covea","Tivoli - Cloisonnement G4","33106","Covea - Tivoli - Cloisonnement G4"
"102293","Snef","Médiathèque Bagnolet - TS","33159A","Snef - Médiathèque Bagnolet - TS"
"102294","Covea","Fourniture Tivoli","33150","Covea - Fourniture Tivoli"
"102295","Ciec","16 bis bd Montmartre Paris 9ème","33163A","Ciec - 16 bis bd Montmartre Paris 9ème"
"102296","Rougnon","Le Retiro / Cartier - Espace réception","32811","Rougnon - Le Retiro / Cartier - Espace réception"
"102297","Tempeol","Covivio Delcasse","33008","Tempeol - Covivio Delcasse"
"102298","Covea","Montparnasse - R+5 / R+4","33187","Covea - Montparnasse - R+5 / R+4"
"102299","Eiffage","RATP Vitry-Ardoines Plomberie/Tunnel SMI","32900D","Eiffage - RATP Vitry-Ardoines Plomberie/Tunnel SMI"
"102300","Emalec","Salesforce - Routeurs LIP","33065","Emalec - Salesforce - Routeurs LIP"
"102301","CBRE","Ory8 - Short version night work","33196","CBRE - Ory8 - Short version night work"
"102302","Engie Solutions","29 Bd Haussman - Audit","33175","Engie Solutions - 29 Bd Haussman - Audit"
"102303","RCE","Collège Maryse Bastié Vélizy","32955B","RCE - Collège Maryse Bastié Vélizy"
"102304","COVEA","Tivoli - Dédommagement temps",,"COVEA - Tivoli - Dédommagement temps"
"102305","Equans Service Bat-Infra","OPV","33077E","Equans Service Bat-Infra - OPV"
"102306","Michon","Sous-Station Bondy  / Paiement Direct","33204.","Michon - Sous-Station Bondy  / Paiement Direct"
,,"Sous-Station Bondy / Paiement Michon","33204.."," - Sous-Station Bondy / Paiement Michon"
"102307","Rougnon","Le Retiro / Cartier - Espace réception TS","33193","Rougnon - Le Retiro / Cartier - Espace réception TS"
"102308","Rougnon","Le Retiro / Cartier","33009A","Rougnon - Le Retiro / Cartier"
"102309","Covea","Tivoli GTB - Partie travaux","33167A","Covea - Tivoli GTB - Partie travaux"
"1023010","Covea","Tivoli - TS","33103A","Covea - Tivoli - TS"
"102311","Fern Energies","GS Robesppierre - Passerelle","33227","Fern Energies - GS Robesppierre - Passerelle"
"102312","CRB","Olainville","33242","CRB - Olainville"
"102313","Geteo","Ecole polytechnique Palaiseau","33012","Geteo - Ecole polytechnique Palaiseau"
"102314","Engie Energie Services","Champs s/Marne - Bibliothèque","32533","Engie Energie Services - Champs s/Marne - Bibliothèque"
"102315","Engie Energie Services","Champs s/Marne - Fourniture","33172","Engie Energie Services - Champs s/Marne - Fourniture"
"102316","EAGC","Fourniture Distech","33245","EAGC - Fourniture Distech"
"102317","Covea","Tivoli","33231","Covea - Tivoli"
"102318","Aston Climatisation","Data center Aubervilliers","33253","Aston Climatisation - Data center Aubervilliers"
"102319","Sodefa","Fourniture","33252","Sodefa - Fourniture"
"102320","Fern Energies","GS Robespierre - Switch","33258","Fern Energies - GS Robespierre - Switch"
"102321","Engie Solutions","Orano - Maintenance 2026","33101","Engie Solutions - Orano - Maintenance 2026"
"102322","Ambiance Climatisation","Omallet - 72 sondes de reprise","33260","Ambiance Climatisation - Omallet - 72 sondes de reprise"
"102323","Geteo","Fourniture Schneider","33259","Geteo - Fourniture Schneider"
"102324","Geteo","Richelieu - GTB CPCU et FDP","33218","Geteo - Richelieu - GTB CPCU et FDP"
"102325","Geteo","Richelieu - Passerelle Mbus","32968","Geteo - Richelieu - Passerelle Mbus"
"102326","Techni +","Thales - Fourniture Automate (phase 2)","33037","Techni + - Thales - Fourniture Automate (phase 2)"
"102327","Techni +","Thales - Fourniture Automate (phase 4)","33277","Techni + - Thales - Fourniture Automate (phase 4)"
"102328","CBRE","Lys 2 - Coffret Axima + Alim Secourue","33244A","CBRE - Lys 2 - Coffret Axima + Alim Secourue"
"102329","ADRS - Drouet","Fourniture ","33276","ADRS - Drouet - Fourniture "
"102330","Sitaclim","112 avenue Wagram / TS","33267","Sitaclim - 112 avenue Wagram / TS"
"102331","Aurion","Urban Montreuil - Imagerie","33075","Aurion - Urban Montreuil - Imagerie"
"102332","Engie Solutions","Noisy le Sec - Rue Brement","33171","Engie Solutions - Noisy le Sec - Rue Brement"
"102333","Engie Solutions","Noisy le Sec - Rue du 18 Avril 1944","33170","Engie Solutions - Noisy le Sec - Rue du 18 Avril 1944"
"102334","Engie Solutions","Noisy le Sec - Rue de Neuilly","33169","Engie Solutions - Noisy le Sec - Rue de Neuilly"
"102335","Covea","Fourniture sondes d'ambiance","33283","Covea - Fourniture sondes d'ambiance"
"102336","Tunzini","Salesforces","33161A","Tunzini - Salesforces"
"102337","Geteo","Chantier CDC","33289","Geteo - Chantier CDC"
"102338","Rougnon","69 Victoire - Remplacement automate","33263","Rougnon - 69 Victoire - Remplacement automate"
"102339","Covea","Tivoli - Fourniture station météo","33294","Covea - Tivoli - Fourniture station météo"
"102340","Covea","Montparnasse - Modif IP 2","33174","Covea - Montparnasse - Modif IP 2"
"102341","Vinci Facilities","124/126 rue de Provence PC GTB","33285","Vinci Facilities - 124/126 rue de Provence PC GTB"
"102342","Eiffage","Gare Ardoines - Complément Gestion CCF","33224","Eiffage - Gare Ardoines - Complément Gestion CCF"
"102343","Covea","Tivoli - Fourniture","33250","Covea - Tivoli - Fourniture"
"102344","Geteo","Richelieu Mise à niveau licence","33290","Geteo - Richelieu Mise à niveau licence"
"102345","Derichebourg Energie","Extension GS Brèche aux loups","33119C","Derichebourg Energie - Extension GS Brèche aux loups"
"102346","Covea","Tivoli SAV","33298","Covea - Tivoli SAV"
"102347","Covea","Tivoli Fourniture","33299","Covea - Tivoli Fourniture"
"102348","Ikea","Ikea Chatres","33005B","Ikea - Ikea Chatres"
"102349","Ambiance Climatisation","Albingia","33278","Ambiance Climatisation - Albingia"
"102350","Engie Energie Services","Noisy le Sec - Rue de Neuilly","33169A","Engie Energie Services - Noisy le Sec - Rue de Neuilly"
"102351","Engie Energie Services","Noisy le Sec - Rue du 18 Avril 1944/Ecran","33241","Engie Energie Services - Noisy le Sec - Rue du 18 Avril 1944/Ecran"
"102352","Vinci Facilities","Audit GTB Home Villejuif","33297","Vinci Facilities - Audit GTB Home Villejuif"
"102353","Snef","Maison des géomètres - TS Fourniture Passerelle","33197","Snef - Maison des géomètres - TS Fourniture Passerelle"
"102354","Snef","Maison des géomètres - Sondes de pression","33304","Snef - Maison des géomètres - Sondes de pression"
"102355","EAGC","Locaux canaux Pantin - AEC 02 et AEC 03","33132","EAGC - Locaux canaux Pantin - AEC 02 et AEC 03"
"102356","Résidence Aktuelle","Audit ","33200","Résidence Aktuelle - Audit "
"102357","Egibe","54 rue Etienne Marcel","33269","Egibe - 54 rue Etienne Marcel"
"102358","SI Piscine des Bussys","Piscine Eaubonne - Maintenance 2026","33275","SI Piscine des Bussys - Piscine Eaubonne - Maintenance 2026"
"X","BUREAU","SEMAINE BUREAU ","X","BUREAU - SEMAINE BUREAU "
"X","ECOLE","ECOLE","X","ECOLE - ECOLE"
"102359","Sogea","Disney Treatment Lake","32961","Sogea - Disney Treatment Lake"
"102360","Dalkia","Lycée Jean Jaurès Carmaux TS","33182A","Dalkia - Lycée Jean Jaurès Carmaux TS"
"102361","Rougnon","Retiro - Maintenance 2026","33247","Rougnon - Retiro - Maintenance 2026"
"102373","SNEF","Maison des Géomètre - Local Plomberie","33329","SNEF - Maison des Géomètre - Local Plomberie"
"102385","CAP HORN SANTE","Treed IT TD RDC","33199B","CAP HORN SANTE - Treed IT TD RDC"
"102390","CIC Climatisation","PATCHWORK Montholon Fourniture et paramétrage PTU","33361","CIC Climatisation - PATCHWORK Montholon Fourniture et paramétrage PTU"
"102362","RCE","Collège Maryse Bastié Vélizy TS","33202B","RCE - Collège Maryse Bastié Vélizy TS"
"102363","Emalec","Salesforce Paris - Maintenance 2026","33309","Emalec - Salesforce Paris - Maintenance 2026"
"102364","Engie Solutions","Dauphine - Alim MD 06.01.01","33165","Engie Solutions - Dauphine - Alim MD 06.01.01"
"102365","UTB","EIP","33036A","UTB - EIP"
"102366","RCE","Niemeyer St-Denis","33236","RCE - Niemeyer St-Denis"
"102367","Solvac","54 rue Etienne Marcel - 4 et 5ème étages","33249C","Solvac - 54 rue Etienne Marcel - 4 et 5ème étages"
"102368","Ambiance climatisation","84 rue des Meuniers","33129A","Ambiance climatisation - 84 rue des Meuniers"
"102369","Lab Energies","Relais SPA","33296B","Lab Energies - Relais SPA"
"102370","Solvac","54 rue Etienne Marcel - 4 et 5ème étages (CVC)","33249B","Solvac - 54 rue Etienne Marcel - 4 et 5ème étages (CVC)"
"102371","Fareneït","Audit Immeuble Jean Zay","33330","Fareneït - Audit Immeuble Jean Zay"
"102372","Engie","Dauphine - Variateurs","33095A","Engie - Dauphine - Variateurs"
"102374","Atout Fluid","Conservatoire Igny","33213A","Atout Fluid - Conservatoire Igny"
"102375","Vinci Facilities","Batiment Canopy - Maintenance 2026","33254","Vinci Facilities - Batiment Canopy - Maintenance 2026"
"102376","Vinci Facilities","Bâtiment Canopy - Maintenance 2026","33282","Vinci Facilities - Bâtiment Canopy - Maintenance 2026"
"102377","Rougnon","Le Retiro/Cartier - Zoning 3D et 4C","33262","Rougnon - Le Retiro/Cartier - Zoning 3D et 4C"
"102378","Equans","OPV - PC GTB Trend","33286","Equans - OPV - PC GTB Trend"
"102379","Siteme","CCI Essonne","33345","Siteme - CCI Essonne"
"102380","Wideber","Lincoln","32913A","Wideber - Lincoln"
"102381","Derichebourg Energie","Hotel Seignelay","33318","Derichebourg Energie - Hotel Seignelay"
"102382","Aston Climatisation","Gd Hôtel Intercontinental - CTA17","32994A","Aston Climatisation - Gd Hôtel Intercontinental - CTA17"
"102383","SAS Clichy Exploitation","Décloisonnement","33315","SAS Clichy Exploitation - Décloisonnement"
"102384","ADRS","Mise à jour Firmeware","33344","ADRS - Mise à jour Firmeware"
"102386","Derichebourg","Crèche Créteil","33306B.","Derichebourg - Crèche Créteil"
"102387","CBRE","TUF1","32362D","CBRE - TUF1"
"102388","Eiffage","RATP Arcueil Cachan - Ajout CCF","33335","Eiffage - RATP Arcueil Cachan - Ajout CCF"
"102389","UTB","Pavillon des Eaux Versailles","33209B","UTB - Pavillon des Eaux Versailles"
"102391","OPCORE","DC2","33371","OPCORE - DC2"
"102392","Egibe","54 rue Etienne Marcel","33269A","Egibe - 54 rue Etienne Marcel"
"102393","Covea","Tivoli - Cloisonnement F3","33369","Covea - Tivoli - Cloisonnement F3"
"102394","Cobalt","Crèche université","33108B","Cobalt - Crèche université"
"102395","Architecte HMONP","Treed It Extension 1er","33109","Architecte HMONP - Treed It Extension 1er"
"102396","DP BAT","Issy-les-Moulineaux","33310","DP BAT - Issy-les-Moulineaux"
"102397","Eiffage","Gare les Ardoines - Gestion vannes locaux","33356","Eiffage - Gare les Ardoines - Gestion vannes locaux"
"102398","Carrier","Sephora Rivoli","33381","Carrier - Sephora Rivoli"
"102399","Aéroclim","Jules Cergy","33136","Aéroclim - Jules Cergy"
"102400","CRAM","Piscine Pantin - Free Cooling","33194","CRAM - Piscine Pantin - Free Cooling"
"102401","Dalkia","Ecran Trend","33291","Dalkia - Ecran Trend"
"102402","Engie Solutions","Noisy le Sec - Modem Brement","33399","Engie Solutions - Noisy le Sec - Modem Brement"
"102403","IDFC","Chaufferie Le Perreux","33311A","IDFC - Chaufferie Le Perreux"
"102404","Cognizant","Fourniture","33376","Cognizant - Fourniture"
"102405","Sylvamétal","Piscine Colombes - TS Coffret","33312","Sylvamétal - Piscine Colombes - TS Coffret"
"102406","Vinci Facilities","Maintenance Home Villejuif 2026","33408","Vinci Facilities - Maintenance Home Villejuif 2026"
"102407","Vinci Facilities","19 Opéra Paris Maintenance 2026","33205","Vinci Facilities - 19 Opéra Paris Maintenance 2026"
"102408","Mairie du Pré St-Gervais","Pré St-Gervais Dépannage","33391","Mairie du Pré St-Gervais - Pré St-Gervais Dépannage"
"102409","Energilec","Batiment Canopy - Fourniture module stores","33355A","Energilec - Batiment Canopy - Fourniture module stores"
"102410","Eiffage","Ratp Arcueil Cachan - Ajout automate","33332B","Eiffage - Ratp Arcueil Cachan - Ajout automate"
"102411","Eiffage","Ratp Arcueil Cachan - Ajout automate","33333A","Eiffage - Ratp Arcueil Cachan - Ajout automate"
"102412","Techni+","Modification VC Maître/Esclave","33401","Techni+ - Modification VC Maître/Esclave"
"102413","Cabinet Proxima Syndic","Treedit - Aree 150 compteurs","33198","Cabinet Proxima Syndic - Treedit - Aree 150 compteurs"
"102414","Derichebourg","Sénat : 1 journée audit et dépannage","33429","Derichebourg - Sénat : 1 journée audit et dépannage"
"102415","Fareneït","Immeuble Jean Zay Fourniture","33435","Fareneït - Immeuble Jean Zay Fourniture"
"102416","Energilec","Canopy - Fourniture télécommande V2","33426","Energilec - Canopy - Fourniture télécommande V2"
"102417","Schneider","Remplacement matériel électrique","33405B","Schneider - Remplacement matériel électrique"
"102418","Schneider","Remplacement matériel électrique","33405A","Schneider - Remplacement matériel électrique"
"102419","Engie Energie Services","Orano - Modification GTB","33398","Engie Energie Services - Orano - Modification GTB"
"102420","Axima","Hôtel Grand Quartier  - Maintenance 2026","33383","Axima - Hôtel Grand Quartier  - Maintenance 2026"
"102421","ADRS","CAF 76 - Zoning","33397","ADRS - CAF 76 - Zoning"
"102422","Climage","Ravel Guyancourt - Audit","33375","Climage - Ravel Guyancourt - Audit"
"102423","Energilec","Canopy - Cloisonnement R+8","33403","Energilec - Canopy - Cloisonnement R+8"
"102424","Aston Climatisation","RTE Guyancourt","33407A","Aston Climatisation - RTE Guyancourt"
"102425","Covea","Tivoli - Dépannage","33453","Covea - Tivoli - Dépannage"
"102426","Covea","Tivoli - Station météo","33458","Covea - Tivoli - Station météo"
"102427","Carrier","Carat Chatillon TS","33404","Carrier - Carat Chatillon TS"
"102428","Derichebourg","Crèche Créteil ","33306B..","Derichebourg - Crèche Créteil "
"102429","IDFC","Chaufferie - Rue Hyppolyte Maze Viroflay","33433","IDFC - Chaufferie - Rue Hyppolyte Maze Viroflay"
"102430","Solvac","Rue Etienne Marcel - Connecteur CVC","33462","Solvac - Rue Etienne Marcel - Connecteur CVC"
"102431","Geteo","Richelieu - Maintenance 2026","33366","Geteo - Richelieu - Maintenance 2026"
"102432","Idex","GS Rostand Boissy","33292","Idex - GS Rostand Boissy"
"102433","AtoutFluid","Villeneuve","33350","AtoutFluid - Villeneuve"
"102434","Sauter","Mise à dispo technicien S15 & S16","33448","Sauter - Mise à dispo technicien S15 & S16"
"102435","Covea","Création Réseau IP","33450. + 33450..","Covea - Création Réseau IP"
"102436","Vinci Facilities","CNAV - Intervention CTA Normandie","33438","Vinci Facilities - CNAV - Intervention CTA Normandie"
"102437","Eiffage Energie Thermique IDF","RATP Le Blanc Mesnil - MAJ Matériels","33341A","Eiffage Energie Thermique IDF - RATP Le Blanc Mesnil - MAJ Matériels"
"102438","Eiffage Energie Thermique IDF","RATP Le Blanc Mesnil - Gestion ventilation naturelle","33463A","Eiffage Energie Thermique IDF - RATP Le Blanc Mesnil - Gestion ventilation naturelle"
"102439","RCE","Collège Maryse Bastié Vélizy - TS V2","33456A","RCE - Collège Maryse Bastié Vélizy - TS V2"
"102440","Eiffage Energie Thermique","RATP Le Blanc Mesnil - Ajout VEX1 et 2","33342A","Eiffage Energie Thermique - RATP Le Blanc Mesnil - Ajout VEX1 et 2"
"102441","Engie Energie Services","Collège Anne Franck - Maintenance 2025","32898","Engie Energie Services - Collège Anne Franck - Maintenance 2025"
"102442","Emalec IDF","Salesforce","33380","Emalec IDF - Salesforce"
"102443","Carrier France","Modernisation armoire Auxerre","33393","Carrier France - Modernisation armoire Auxerre"
"102444","Energilec","Boulogne - Essais avec CTA","33265","Energilec - Boulogne - Essais avec CTA"
"102445","CBRE GWS Ltd","ORY8 - Adding Power","33477","CBRE GWS Ltd - ORY8 - Adding Power"
"102446","Eiffage","RATP Vitry Centre - Prestations diverses","33394A","Eiffage - RATP Vitry Centre - Prestations diverses"
"102447","Tempeol","Fourniture","33481","Tempeol - Fourniture"
"102448","Engie","Champs s/Marne - CTA SSI","33303","Engie - Champs s/Marne - CTA SSI"
"102449","Sys & Com","ADP - Terminal 2E","33491","Sys & Com - ADP - Terminal 2E"
"102450","Aurion","Marceau R+4 - Cloisonnements","33367A","Aurion - Marceau R+4 - Cloisonnements"
"102451","AURION (LTDF)","EPS Ville Evrard ","33480","AURION (LTDF) - EPS Ville Evrard "
